"","feature","symbol","human_ortholog","gene_title","chr","source","gene_name","uniprot"
"Tnc","Tnc","Tnc","TNC","tenascin C","4","org.Mm.eg.db","Tnc","Q64706;Q80YX1;Q80YX2;Q148T4;Q148T5;Q8C9Z1"
"Serpina3c","Serpina3c","Serpina3c","","serine (or cysteine) peptidase inhibitor, clade A, member 3C","12","org.Mm.eg.db","Serpina3c","P29621;Q14AS7"
"2410004L22Rik","2410004L22Rik","Haus8","HAUS8","4HAUS augmin-like complex, subunit 8","8","org.Mm.eg.db","2410004L22Rik","Q99L00;Q9CWT4"
"Tpm1","Tpm1","Tpm1;Tcpm1","TPM1","tropomyosin 1, alpha; T cell phenotype modifier 1","9","org.Mm.eg.db","Tpm1","P19354;P58771;Q545Y3;B7ZNL3;E9Q450;Q8BP43;G5E8R1;G5E8R2;E9Q452;G5E8R0;Q564G1;E9Q454;A0A2R2Y2P8;E9Q448;E9Q455;E9Q453;E9Q456;F8WID5"
"Rdh11","Rdh11","Rdh11","RDH11","retinol dehydrogenase 11","12","org.Mm.eg.db","Rdh11","Q9R1R8;Q9R1R9;Q9R1R5;Q3UXM9;Q9D0U5;Q9QYF1"
"Gpr109b","Gpr109b","Hcar2","HCAR2","hydroxycarboxylic acid receptor 2","5","org.Mm.eg.db","Gpr109b","Q0VBA6;Q9EP66"
"Lum","Lum","Lum","LUM","lumican","10","org.Mm.eg.db","Lum","P51885;Q3TP25;Q99JZ3;Q9CXK0"
"Aacs","Aacs","Aacs","AACS","acetoacetyl-CoA synthetase","5","org.Mm.eg.db","Aacs","A1IG47;Q3TCL8;Q3UD39;Q9D2R0"
"Fhl2","Fhl2","Fhl2","FHL2","four and a half LIM domains 2","1","org.Mm.eg.db","Fhl2","O70433;P97448;Q543D7"
"Sox14","Sox14","Sox14","SOX14","SRY (sex determining region Y)-box 14","9","org.Mm.eg.db","Sox14","Q04892;Q3UUP3;Q9JLC9;Q9JLD0;Q9QXU4"
"Sh3d19","Sh3d19","Sh3d19","SH3D19","SH3 domain protein D19","3","org.Mm.eg.db","Sh3d19","A0A571BGG1;Q91X43;A0A571BEF4;O08635;O35146;Q8C7I2"
"Rragd","Rragd","Rragd","RRAGD","Ras-related GTP binding D","4","org.Mm.eg.db","Rragd","B1AWT3;Q6GTT2;Q7TT45;Q9CYC2;B1AWT2"
"Exo1","Exo1","Exo1","EXO1","exonuclease 1","1","org.Mm.eg.db","Exo1","Q3TLM4;Q923A5;Q9QZ11"
"1810008K03Rik","1810008K03Rik","Chac1","CHAC1","ChaC, cation transport regulator 1","2","org.Mm.eg.db","1810008K03Rik","A2AV63;Q8R3J5;Q9D944"
"Rnase4","Rnase4","Rnase4","RNASE4","ribonuclease, RNase A family 4","14","org.Mm.eg.db","Rnase4","Q5UCA9;Q8C7E4;Q9JJH1"
"Acta1","Acta1","Acta1","ACTA1","actin alpha 1, skeletal muscle","8","org.Mm.eg.db","Acta1","P68134;Q3TG92;Q3UIJ3;Q9CXK3"
"Blnk","Blnk","Blnk","BLNK","B cell linker","19","org.Mm.eg.db","Blnk","D3YWR2;O88504;Q9QUN3"
"Hrmt1l2","Hrmt1l2","Prmt1","PRMT1","protein arginine N-methyltransferase 1","7","org.Mm.eg.db","Hrmt1l2","F8WH01;Q3UIG8;Q80WB1;A0A140LJ70;Q9CX58;Q8C2D7;Q99LS4;Q9JIF0;Q80WV6"
"Cd34","Cd34","Cd34","CD34","CD34 antigen","1","org.Mm.eg.db","Cd34","Q3TJP6;Q543Y2;Q543B6;Q62550;Q62551;Q64314;Q8C2A1"
"Insig1","Insig1","Insig1","INSIG1","insulin induced gene 1","5","org.Mm.eg.db","Insig1","A2RSM6;Q3UAX9;Q3UX30;Q8BGI3"
"Cd14","Cd14","Cd14","CD14","CD14 antigen","18","org.Mm.eg.db","Cd14","P10810;Q3U6A3;Q3UE54;Q4FJP7"
"Eml2","Eml2","Eml2","EML2","echinoderm microtubule associated protein like 2","7","org.Mm.eg.db","Eml2","E9QK48;Q7TNG5;Q9DAS8"
"Ckmt2","Ckmt2","Ckmt2","CKMT2","creatine kinase, mitochondrial 2","13","org.Mm.eg.db","Ckmt2","Q6P8J7"
"4930420O11Rik","4930420O11Rik","Mast4","MAST4","microtubule associated serine/threonine kinase family member 4","13","org.Mm.eg.db","4930420O11Rik","E9QAH7;Q3UVE7;Q62489;Q6ZQE0;Q811L6;Q8BME3;E9QPR4;E9PWX8;A0A668KMA1;A0A0A6YXG1"
"Slamf8","Slamf8","Slamf8","SLAMF8","SLAM family member 8","1","org.Mm.eg.db","Slamf8","Q3U1C3;Q3UQA2;Q8R3T7;Q9D3G2"
"6720460F02Rik","6720460F02Rik","Pimreg","PIMREG","PICALM interacting mitotic regulator","11","org.Mm.eg.db","6720460F02Rik","Q8BFY7;Q8K2Z7;Q8VDW8"
"Ccnb2","Ccnb2","Ccnb2","CCNB2","cyclin B2","9","org.Mm.eg.db","Ccnb2","P30276;Q922E9;Q9CYU2"
"Cdc20","Cdc20","Cdc20","CDC20","cell division cycle 20","4","org.Mm.eg.db","Cdc20","Q3TGP1;Q8BPG4;Q99LK3;Q9JJ66"
"H2-Eb1","H2-Eb1","H2","","histocompatibility-2, MHC",NA,"org.Mm.eg.db","H2-Eb1",NA
"Lox","Lox","Lox","LOX","lysyl oxidase","18","org.Mm.eg.db","Lox","P28301;Q3TLP7;Q3TP83;Q3TWI1;Q3TX90;Q3TXH3"
"Serpinb9e","Serpinb9e","Serpinb9e","SERPINB9","serine (or cysteine) peptidase inhibitor, clade B, member 9e","13","org.Mm.eg.db","Serpinb9e","O08806;Q80Y29"
"Tat","Tat","Atat1","ATAT1","alpha tubulin acetyltransferase 1","17","org.Mm.eg.db","Tat","B8JJ75;B8JJ77;Q3UZR9;Q8BM67;Q8C1D1;Q8K2M7;Q8K341"
"Anxa13","Anxa13","Anxa13","ANXA13","annexin A13","15","org.Mm.eg.db","Anxa13","Q99JG3"
"Car3","Car3","Car3","CA3","carbonic anhydrase 3","3","org.Mm.eg.db","Car3","P16015;Q9ERN8"
"Col6a3","Col6a3","Col6a3","COL6A3","collagen, type VI, alpha 3","1","org.Mm.eg.db","Col6a3","E9PWQ3;A0A087WS16;J3QQ16"
"4831417L10","4831417L10","Elmod1","ELMOD1","ELMO/CED-12 domain containing 1","9","org.Mm.eg.db","4831417L10","B7ZN22;Q3V1U8"
"1700030B17Rik","1700030B17Rik","Ica1l","ICA1L","islet cell autoantigen 1-like","1","org.Mm.eg.db","1700030B17Rik","A0A087WSM1;Q3TY65;Q6AXB8;Q6PD23;Q8C0R6;Q9D9S5"
"Rtn4","Rtn4","Rtn4","RTN4","reticulon 4","11","org.Mm.eg.db","Rtn4","Q78NS1;Q99P72;Q8K3G7;Q5DTK9;Q7TNB7;Q80W95;Q8BGK7;Q8BGM9;Q8BH78;Q8BHF5;Q8K290;Q8K3G8;Q9CTE3"
"Pcsk9","Pcsk9","Pcsk9","PCSK9","proprotein convertase subtilisin/kexin type 9","4","org.Mm.eg.db","Pcsk9","B1AZI4;Q3UEH7;Q80W65;Q8BXW9;Q8CFT6"
"Postn","Postn","Postn","POSTN","periostin, osteoblast specific factor","3","org.Mm.eg.db","Postn","Q6GUA3;Q3U4U1;A0A097BW21;A0A097BW18;Q62009;Q8BMJ6;Q8K1K0"
"Mcm6","Mcm6","Mcm6","MCM6","minichromosome maintenance complex component 6","1","org.Mm.eg.db","Mcm6","Q3UC10;Q3ULG5;P97311;Q542I2;Q80YQ7"
"C81234","C81234","","",NA,NA,"org.Mm.eg.db","C81234",NA
"2700081O15Rik","2700081O15Rik","Zfta","ZFTA","zinc finger translocation associated","19","org.Mm.eg.db","2700081O15Rik","A0A087WPN4;Q4VA45"
"Nsdhl","Nsdhl","Nsdhl","NSDHL","NAD(P) dependent steroid dehydrogenase-like","X","org.Mm.eg.db","Nsdhl","O55109;Q3US15;Q7TPY3;Q8VE30;Q9R1J0;U3M993"
"Cdh17","Cdh17","Cdh17","CDH17","cadherin 17","4","org.Mm.eg.db","Cdh17","Q3TAN0;Q3U1Y7;Q9R100"
"Cdkn1b","Cdkn1b","Cdkn1b","CDKN1B","cyclin dependent kinase inhibitor 1B","6","org.Mm.eg.db","Cdkn1b","P46414;Q4FJM2;Q8BG74"
"Pde4b","Pde4b","Pde4b","PDE4B","phosphodiesterase 4B, cAMP specific","4","org.Mm.eg.db","Pde4b","B1AWD0;Q91VY2;Q6IQY6;Q3TTI9;Q80VK8;B1AWC8;Q9QXI7;B1AWC9;Q8VBU5"
"Ctsg","Ctsg","Ctsg","CTSG","cathepsin G","14","org.Mm.eg.db","Ctsg","P28293;Q059V7"
"Gucy1a3","Gucy1a3","Gucy1a1","GUCY1A1","guanylate cyclase 1, soluble, alpha 1","3","org.Mm.eg.db","Gucy1a3","Q6GTG0;Q9DBQ3;Q9ERL9"
"Eomes","Eomes","Eomes","EOMES","eomesodermin","9","org.Mm.eg.db","Eomes","O54839;F6VSW9;Q3UPL1;Q52KJ1;Q8BN22;Q9JJL1;Q9QYG7"
"BC027127","BC027127","Vstm2a","VSTM2A","V-set and transmembrane domain containing 2A",NA,"org.Mm.eg.db","BC027127","A0A140LHB6;F6Y6A6;Q8R0A6"
"Mt1","Mt1","Mt1","MT1F","metallothionein 1","8","org.Mm.eg.db","Mt1","P02802;Q64485;A0A1D5RLN7;Q3U340"
"Thbs2","Thbs2","Thbs2","THBS2","thrombospondin 2","17","org.Mm.eg.db","Thbs2","Q03350;Q7TMT3;Q8CG21"
"Nid1","Nid1","Nid1","NID1","nidogen 1","13","org.Mm.eg.db","Nid1","P10493;Q3TKX9;Q8BQI3;Q8C3U8;Q8C9P6"
"5830443L24Rik","5830443L24Rik","Gbp8","GBP6","guanylate-binding protein 8","5","org.Mm.eg.db","5830443L24Rik","F7CE50;Q2V6D6;Q66K09"
"9930020N01","9930020N01","","",NA,NA,"org.Mm.eg.db","9930020N01",NA
"Slc34a2","Slc34a2","Slc34a2","SLC34A2","solute carrier family 34 (sodium phosphate), member 2","5","org.Mm.eg.db","Slc34a2","Q9DBP0;Q9Z290"
"Slc37a1","Slc37a1","Slc37a2;Slc37a1","SLC37A2","solute carrier family 37 (glycerol-3-phosphate transporter), member 2; solute carrier family 37 (glycerol-3-phosphate transporter), member 1","9;17","org.Mm.eg.db","Slc37a1","Q9WU81;Q571N8;Q6P4P0;Q8BV90;Q8C144;Q8R1Y0;Q3TQ11;Q3UPC2;Q8R070;Q8K0Y8"
"4930543E12Rik","4930543E12Rik","4930543E12Rik","","RIKEN cDNA 4930543E12 gene","7","org.Mm.eg.db","4930543E12Rik",NA
"Nedd4","Nedd4","Nedd4","NEDD4","neural precursor cell expressed, developmentally down-regulated 4","9","org.Mm.eg.db","Nedd4","A0A571BDN7;B2RSC8;O08758;P46935;Q3UZI2;Q8BGB3"
"Tacstd1","Tacstd1","Epcam","EPCAM","epithelial cell adhesion molecule","17","org.Mm.eg.db","Tacstd1","Q61512;Q99JW5"
"2210008M09Rik","2210008M09Rik","Esrp1","ESRP1","epithelial splicing regulatory protein 1","4","org.Mm.eg.db","2210008M09Rik","A2AJQ4;A2AJQ5;A2AJQ6;A2AJQ7;A2AJQ8;Q3TLQ3;Q3US41;Q6PCL4;Q8C9F5;Q8K0G2;Z4YJI3;F8WGU3"
"Myh7","Myh7","Myh7","MYH7","myosin, heavy polypeptide 7, cardiac muscle, beta","14","org.Mm.eg.db","Myh7","B2RXX9;B2RY26;Q3TGM2;Q3TZN2;Q91Z83"
"1700023B02Rik","1700023B02Rik","Cir1","CIR1","corepressor interacting with RBPJ, 1","2","org.Mm.eg.db","1700023B02Rik","Q3V2N9;Q4KL44;Q52KL9;Q5FW66;Q9DA19"
"H2-Ab1","H2-Ab1","H2","","histocompatibility-2, MHC",NA,"org.Mm.eg.db","H2-Ab1",NA
"Cd63","Cd63","Cd63","CD63","CD63 antigen","10","org.Mm.eg.db","Cd63","P41731;Q3UC80;Q549D0"
"Cyp2c50","Cyp2c50","Cyp2c50","","cytochrome P450, family 2, subfamily c, polypeptide 50","19","org.Mm.eg.db","Cyp2c50","Q9DBD9;E9QPJ0;Q6XVG3;Q80X43;Q91X77"
"2810022L02Rik","2810022L02Rik","Spats2l","SPATS2L","spermatogenesis associated, serine-rich 2-like","1","org.Mm.eg.db","2810022L02Rik","E9PZE9;Q8K322;Q8VC37;Q91WJ7;E9PVQ3"
"5430413I02Rik","5430413I02Rik","Psrc1","PSRC1","proline/serine-rich coiled-coil 1","3","org.Mm.eg.db","5430413I02Rik","Q8K4L8;Q9D0P7;Q9QXY5"
"Cyp2c40","Cyp2c40","Cyp2c40","","cytochrome P450, family 2, subfamily c, polypeptide 40","19","org.Mm.eg.db","Cyp2c40","B2RTP3;P56657;Q8VCP4;E9Q7C8"
"Rhobtb1","Rhobtb1","Rhobtb1","RHOBTB1","Rho-related BTB domain containing 1","10","org.Mm.eg.db","Rhobtb1","B2RPX3;Q499C9;Q9DAK3;B7ZMU4;Q6A003"
"Mesp1","Mesp1","Mesp1","MESP1","mesoderm posterior 1","7","org.Mm.eg.db","Mesp1","P97309;Q059W2"
"2300003P22Rik","2300003P22Rik","Asprv1","ASPRV1","aspartic peptidase, retroviral-like 1","6","org.Mm.eg.db","2300003P22Rik","A0A8D3UE05;Q09PK2"
"Catns","Catns","Ctnnd1","CTNND1","catenin delta 1","2","org.Mm.eg.db","Catns","D3Z2H2;D3Z7H6;E9Q986;P30999;Q3TSU9;Q80XQ4;Q8CHF8;E9Q8Z9;G3X9V2;E9Q8Z8;E9Q904;E9Q8Z6;E9Q901;E9Q903;E9Q8Z5;E9Q905;E9Q907"
"Bcl2a1c","Bcl2a1c","Bcl2a1c","","B cell leukemia/lymphoma 2 related protein A1c","9","org.Mm.eg.db","Bcl2a1c","O55178;Q0P538"
"Cenpe","Cenpe","Cenpe","CENPE","centromere protein E","3","org.Mm.eg.db","Cenpe","E9QKK1;O35059;Q3KQQ6;Q3V044;Q6PD00;Q6RT24;Q7TPX4;Q80YB4;Q8BWX6"
"Gstm1","Gstm1","Gstm1","GSTM5","glutathione S-transferase, mu 1","3","org.Mm.eg.db","Gstm1","A2AE89;A2AE90;P10649;Q58ET5"
"BC025462","BC025462","","",NA,NA,"org.Mm.eg.db","BC025462",NA
"Laptm5","Laptm5","Laptm5","LAPTM5","lysosomal-associated protein transmembrane 5","4","org.Mm.eg.db","Laptm5","Q3TBK6;Q544S4;Q60923;Q61168"
"4933403M22Rik","4933403M22Rik","Lmntd1","LMNTD1","lamin tail domain containing 1","6","org.Mm.eg.db","4933403M22Rik","Q5UE52;Q9D4C1;E9Q8Y6;Q8BWL2"
"Mmp2","Mmp2","Mmp2","MMP2","matrix metallopeptidase 2","8","org.Mm.eg.db","Mmp2","P33434;Q3UG07"
"Bcl2a1b","Bcl2a1b","Bcl2a1b","BCL2A1","B cell leukemia/lymphoma 2 related protein A1b","9","org.Mm.eg.db","Bcl2a1b","O55177;Q497M6;Q4FK02"
"St14","St14","St14","ST14","suppression of tumorigenicity 14 (colon carcinoma)","9","org.Mm.eg.db","St14","P56677;Q543E3"
"Ngfa","Ngfa","Klk1b4","","kallikrein 1-related pepidase b4","7","org.Mm.eg.db","Ngfa","A0A1R3UGK0;P00757"
"Plac8","Plac8","Plac8","PLAC8","placenta-specific 8","5","org.Mm.eg.db","Plac8","Q9JI48"
"Fmo2","Fmo2","Fmo2","FMO2","flavin containing monooxygenase 2","1","org.Mm.eg.db","Fmo2","Q8K2I3;Q9QZF7"
"Mia2","Mia2","Mia2","MIA2","MIA SH3 domain ER export factor 2","12","org.Mm.eg.db","Mia2","E9PY90;Q3TZZ3;H3BK44;A0A1W2P711;Q8CIE3;Q8R311;Q91ZV0;H3BJS0;E9Q3S2;H3BK48;H3BKH2;H3BL19;H3BKL6;H3BJI6"
"0610039N19Rik","0610039N19Rik","Retsat","RETSAT","retinol saturase (all trans retinol 13,14 reductase)","6","org.Mm.eg.db","0610039N19Rik","A4FUU4;Q149J8;Q3UNN9;Q64FW2;Q78JX8;Q8VHE7;Q9CW85"
"Gdf3","Gdf3","Gdf3","GDF3","growth differentiation factor 3","6","org.Mm.eg.db","Gdf3","Q07104;Q3TUX1;Q3ZB19"
"4930443G12Rik","4930443G12Rik","Slc25a54","","solute carrier family 25, member 54","3","org.Mm.eg.db","4930443G12Rik","B1AUS6;Q9D5G5"
"Nrg1","Nrg1","Nrg1","NRG1","neuregulin 1","8","org.Mm.eg.db","Nrg1","A0A140LJ88;Q6DR98;Q3URY7;A0A140LIG9;Q3TD94;A0A5F8MPT0;Q8BX76;Q6DR99;A0A140LHZ9;A0A5F8MPT8;A0A140LJC1;A0A5F8MPJ0;A0A140LIP8"
"C330027C09Rik","C330027C09Rik","Cip2a","CIP2A","cell proliferation regulating inhibitor of protein phosphatase 2A","16","org.Mm.eg.db","C330027C09Rik","B2RQ25;D3Z7B5;Q69ZH6;Q7TPZ7;Q8BWY9"
"Got1","Got1","Got1","GOT1","glutamic-oxaloacetic transaminase 1, soluble","19","org.Mm.eg.db","Got1","P05201;Q3UJH8"
"Alg8","Alg8","Alg8","ALG8","ALG8 alpha-1,3-glucosyltransferase","7","org.Mm.eg.db","Alg8","E9Q3H5;Q3TKP5;Q3URN2;Q6P8H8"
"Dhcr7","Dhcr7","Dhcr7","DHCR7","7-dehydrocholesterol reductase","7","org.Mm.eg.db","Dhcr7","O88455;Q3UIQ5;Q4FJX5;A0A140LIT2"
"Scnn1a","Scnn1a","Scnn1a","SCNN1A","sodium channel, nonvoltage-gated 1 alpha","6","org.Mm.eg.db","Scnn1a","Q80YC1;Q3USG4;Q61180;Q9WU37;H3BLI2"
"1810018L02Rik","1810018L02Rik","Tm4sf20","TM4SF20","transmembrane 4 L six family member 20","1","org.Mm.eg.db","1810018L02Rik","Q9CQY8;Q9D3Q0;Q9D3R0"
"Ms4a3","Ms4a3","Ms4a3","MS4A3","membrane-spanning 4-domains, subfamily A, member 3","19","org.Mm.eg.db","Ms4a3","Q53ZU3;Q810H7;Q920C4;Q99MX6"
"Hells","Hells","Hells","HELLS","helicase, lymphoid specific","19","org.Mm.eg.db","Hells","Q497T3;Q60848;Q8VDZ1;Q9CYV7"
"Adamts4","Adamts4","Adamts4","ADAMTS4","ADAM metallopeptidase with thrombospondin type 1 motif 4","1","org.Mm.eg.db","Adamts4","Q3TNX8;Q8BNJ2;Q8K384"
"Siat8d","Siat8d","St8sia4","ST8SIA4","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4","1","org.Mm.eg.db","Siat8d","A0A087WRA0;Q53WR7;Q64692;Q6PAS1;Q8BY70"
"Olfr904","Olfr904","Or8b1b","","olfactory receptor family 8 subfamily B member 1B","9","org.Mm.eg.db","Olfr904","Q7TRC9;Q8VG67"
"A430056A10Rik","A430056A10Rik","Ifi44","IFI44","interferon-induced protein 44","3","org.Mm.eg.db","A430056A10Rik","Q8BV66;Q9ER37"
"Gnai1","Gnai1","Gnai1","GNAI1","G protein subunit alpha i1","5","org.Mm.eg.db","Gnai1","B2RSH2;Q3TJH1"
"Ucp2","Ucp2","Ucp2","UCP2","uncoupling protein 2 (mitochondrial, proton carrier)","7","org.Mm.eg.db","Ucp2","O88285;P70406;Q549J5;Q8CBU0;Q9R246"
"BC023892","BC023892","Tent5a","TENT5A","terminal nucleotidyltransferase 5A",NA,"org.Mm.eg.db","BC023892","D3Z5S8;A0A087WS27"
"Il1r1","Il1r1","Il1r1","IL1R1","interleukin 1 receptor, type I","1","org.Mm.eg.db","Il1r1","Q8C6P3;Q8C833;P13504;Q32MH0"
"Retnlb","Retnlb","Retnlb","RETNLB","resistin like beta","16","org.Mm.eg.db","Retnlb","A0A0R4J042;Q99P86;Q9D286"
"Asb5","Asb5","Asb5","ASB5","ankyrin repeat and SOCs box-containing 5","8","org.Mm.eg.db","Asb5","A0A5F8MPR8;A0A5F8MPD7;Q2VPQ8;Q9D1A4"
"Pex11a","Pex11a","Pex11a","PEX11A","peroxisomal biogenesis factor 11 alpha","7","org.Mm.eg.db","Pex11a","Q3UER4;Q8C5B8;Q9Z211"
"9030408N13Rik","9030408N13Rik","Mcub","MCUB","mitochondrial calcium uniporter dominant negative beta subunit","3","org.Mm.eg.db","9030408N13Rik","D6RIL8;Q810S1;A0A9S4GQC1;Q3U4A9;Q9CSE7;Q9D345"
"2810405K07Rik","2810405K07Rik","Zfp661","ZNF2","zinc finger protein 661","2","org.Mm.eg.db","2810405K07Rik","Q7TPW3;Q8BIQ3"
"Vps52","Vps52","Vps52","VPS52","VPS52 GARP complex subunit","17","org.Mm.eg.db","Vps52","A0A068BGT0;Q3V3A4;Q6P4N7;Q8BQ15;Q8C754;Q9QWT6;Q9QWV2"
"Anxa5","Anxa5","Anxa5","ANXA5","annexin A5","3","org.Mm.eg.db","Anxa5","P48036;Q3U5Q1;Q3U5X4;Q3U8K1;Q3UGV0;Q99LA1"
"Rgs6","Rgs6","Rgs6","RGS6","regulator of G-protein signaling 6","12","org.Mm.eg.db","Rgs6","F6WDS8;Q08AT5;Q8BGI8;Q9Z2H2;A0A087WNZ9;A0A087WRN0;A0A087WRP8;B1B1E4;Q3UTM5;A0A087WSH2"
"4932431F02Rik","4932431F02Rik","Ubap2l","UBAP2L","ubiquitin-associated protein 2-like","3","org.Mm.eg.db","4932431F02Rik","Q812D5;Q80X50;Q8BIT6;Q8BIW4;Q8BJ01;Q8CIG7;Q8K102;Q9CRT6;Q8BJ53;A0A0H2UH17;A0A0G2JDV6"
"BC025600","BC025600","Tmem119","TMEM119","transmembrane protein 119",NA,"org.Mm.eg.db","BC025600","Q8BP14;Q8R138"
"Nsd1","Nsd1","Nsd1","NSD1","nuclear receptor-binding SET-domain protein 1","13","org.Mm.eg.db","Nsd1","A0A286YE36;A0A286YDS9;E9QAE4"
"Cyp2c55","Cyp2c55","Cyp2c55","CYP2C18","cytochrome P450, family 2, subfamily c, polypeptide 55","19","org.Mm.eg.db","Cyp2c55","Q9D816"
"Ncf4","Ncf4","Ncf4","NCF4","neutrophil cytosolic factor 4","15","org.Mm.eg.db","Ncf4","A8XU21;B6DT57;P97369;Q3TBC6;Q3TC82"
"Zfhx1b","Zfhx1b","Zeb2","ZEB2","zinc finger E-box binding homeobox 2","2","org.Mm.eg.db","Zfhx1b","H9H9S3;Q3URW5;Q6P9M5;Q9R0G7"
"Ccna2","Ccna2","Ccna2","CCNA2","cyclin A2","3","org.Mm.eg.db","Ccna2","P51943;Q61459;Q8BRG1"
"Slc15a1","Slc15a1","Slc15a1","SLC15A1","solute carrier family 15 (oligopeptide transporter), member 1","14","org.Mm.eg.db","Slc15a1","E9QMX3;Q14BA3;Q3UWE2;Q9JIP7"
"Tesc","Tesc","Tesc","TESC","tescalcin","5","org.Mm.eg.db","Tesc","D0EM45;Q32Q85;Q8VCN1;Q9JKL5"
"Ms4a6b","Ms4a6b","Ms4a6b","","membrane-spanning 4-domains, subfamily A, member 6B","19","org.Mm.eg.db","Ms4a6b","Q8BK83;Q99N09;Q9D8W9"
"Ang1","Ang1","Angpt1;Ang","ANGPT1","angiopoietin 1; angiogenin, ribonuclease, RNase A family, 5","15;14","org.Mm.eg.db","Ang1","Q8C2K6;O08538;Q6NWV7;P21570;Q3TBG7"
"Unc5b","Unc5b","Unc5b","UNC5B","unc-5 netrin receptor B","10","org.Mm.eg.db","Unc5b","Q3TYW6;Q3U4F2;Q6PFH0;Q80Y85;Q8K1S3;Q9D398"
"9430059P22Rik","9430059P22Rik","Shisa2","SHISA2","shisa family member 2","14","org.Mm.eg.db","9430059P22Rik","Q0NZZ5;Q8BN61;Q8QZV2"
"Ak2","Ak2","Ak2","AK2","adenylate kinase 2","4","org.Mm.eg.db","Ak2","A2A820;Q3THT3;Q3TI11;Q3TKI6;Q8C7I9;Q9CY37;Q9WTP6"
"Lzp-s","Lzp-s","Lyz2","LYZ","lysozyme 2","10","org.Mm.eg.db","Lzp-s","A0A077S2U6;P08905;Q3TXG2;Q3U5Q2;Q3U690;Q8VE78"
"Slc7a8","Slc7a8","Slc7a8","SLC7A8","solute carrier family 7 (cationic amino acid transporter, y+ system), member 8","14","org.Mm.eg.db","Slc7a8","Q9QXW9"
"Sds","Sds","Sbds","SBDS","SBDS ribosome maturation factor","5","org.Mm.eg.db","Sds","P70122;Q3TG78;Q9CR18"
"Gstm2","Gstm2","Gstm2","GSTM1","glutathione S-transferase, mu 2","3","org.Mm.eg.db","Gstm2","D3YX76;P15626"
"Prss11","Prss11","Htra1","HTRA1","HtrA serine peptidase 1","7","org.Mm.eg.db","Prss11","Q8BN04;Q8BN05;Q91WS3;Q9QZK6;Q9R118"
"Cyp4f14","Cyp4f14","Cyp4f14","CYP4F12","cytochrome P450, family 4, subfamily f, polypeptide 14","17","org.Mm.eg.db","Cyp4f14","Q52L93;Q9EP75"
"Plat","Plat","Plat","PLAT","plasminogen activator, tissue","8","org.Mm.eg.db","Plat","P11214;Q6P7U0;Q91VP2"
"Sdro","Sdro","Sdr9c7","SDR9C7","4short chain dehydrogenase/reductase family 9C, member 7","10","org.Mm.eg.db","Sdro","Q8K3P0"
"1600029D21Rik","1600029D21Rik","Plet1","PLET1","placenta expressed transcript 1","9","org.Mm.eg.db","1600029D21Rik","Q05DM2;Q8VEN2;Q9DAT1;Q9DCI0"
"Jun","Jun","Jun","JUN","jun proto-oncogene","4","org.Mm.eg.db","Jun","P05627;Q3US19;Q3V255;Q52L79"
"3300002I08Rik","3300002I08Rik","3300002I08Rik","","RIKEN cDNA 3300002I08 gene","2","org.Mm.eg.db","3300002I08Rik","Q9CXH3"
"Serpina3m","Serpina3m","Serpina3m","","serine (or cysteine) peptidase inhibitor, clade A, member 3M","12","org.Mm.eg.db","Serpina3m","E9Q926;Q03734;Q62260"
"Cd22","Cd22","Cd22","CD22","CD22 antigen","7","org.Mm.eg.db","Cd22","P35329;Q3TAX0;Q3UP36;Q9JHL2;Q9JJX9;Q9JJY0;Q9JJY1;Q9R056;Q9R094;Q9WU51"
"Rps6kb2","Rps6kb2","Rps6kb2","RPS6KB2","ribosomal protein S6 kinase, polypeptide 2","19","org.Mm.eg.db","Rps6kb2","Q9Z1M4"
"1700001G17Rik","1700001G17Rik","1700001G17Rik","","RIKEN cDNA 1700001G17 gene","1","org.Mm.eg.db","1700001G17Rik",NA
"B3bp","B3bp","N4bp2","N4BP2","NEDD4 binding protein 2","5","org.Mm.eg.db","B3bp","A0A0J9YUP5;F8VQG7"
"Phlda3","Phlda3","Phlda3","PHLDA3","pleckstrin homology like domain, family A, member 3","1","org.Mm.eg.db","Phlda3","Q9WV95"
"Cox6a2","Cox6a2","Cox6a2","COX6A2","cytochrome c oxidase subunit 6A2","7","org.Mm.eg.db","Cox6a2","P43023;Q8R2L0"
"Lgals1","Lgals1","Lgals1","LGALS1","lectin, galactose binding, soluble 1","15","org.Mm.eg.db","Lgals1","P05163;P11946;P16045;P17601;Q4FZH4;Q99M27;Q9D0X0"
"Orm1","Orm1","Orm1","ORM1","orosomucoid 1","4","org.Mm.eg.db","Orm1","Q60590;Q91X23"
"Slfn5","Slfn5","Slfn5","SLFN5","schlafen 5","11","org.Mm.eg.db","Slfn5","A0A1G5SK44;Q148Z1;Q3V3H0;Q5QNT5;Q7TMA8;Q8CBA2"
"Cyp4b1","Cyp4b1","Cyp4b1","CYP4B1","cytochrome P450, family 4, subfamily b, polypeptide 1","4","org.Mm.eg.db","Cyp4b1","Q3TNA0;Q64462"
"AW209059","AW209059","","",NA,NA,"org.Mm.eg.db","AW209059",NA
"Dbil5","Dbil5","Dbil5","","diazepam binding inhibitor-like 5","11","org.Mm.eg.db","Dbil5","O09035;Q545L5"
