"","gene_name","gene_title","gene_biotype","chr","pos","tx_len","map"
"ANKRD13A","ANKRD13A","ankyrin repeat domain 13A","protein_coding","12","109999429","2875","12q24.11"
"ANKRD13D","ANKRD13D","ankyrin repeat domain 13D","protein_coding","11","67289302","2174","11q13.2"
"ANKRD17","ANKRD17","ankyrin repeat domain 17","protein_coding","4","73073375","7954","4q13.3"
"ANKRD28","ANKRD28","ankyrin repeat domain 28","protein_coding","3","15667235","4183","3p25.1"
"ANKRD36","ANKRD36","ankyrin repeat domain 36","protein_coding","2","97113152","2256","2q11.2"
"ANKRD39","ANKRD39","ankyrin repeat domain 39","protein_coding","2","96847989","898","2q11.2"
"ANKRD40","ANKRD40","ankyrin repeat domain 40","protein_coding","17","50693197","4169","17q21.33"
"ANKRD44","ANKRD44","ankyrin repeat domain 44","protein_coding","2","196986661","3250","2q33.1"
"ANKRD52","ANKRD52","ankyrin repeat domain 52","protein_coding","12","56237806","4717","12q13.3"
"ANKS1B","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B","protein_coding","12","98743973","3237","12q23.1"
"ANKS6","ANKS6","ankyrin repeat and sterile alpha motif domain containing 6","protein_coding","9","98732008","4589","9q22.33"
"ANKZF1","ANKZF1","ankyrin repeat and zinc finger peptidyl tRNA hydrolase 1","protein_coding","2","219229805","2482","2q35"
"ANLN","ANLN","anillin actin binding protein","protein_coding","7","36389861","4648","7p14.2"
"ANO10","ANO10","anoctamin 10","protein_coding","3","43366325","2514","3p22.1-p21.33"
"ANO6","ANO6","anoctamin 6","protein_coding","12","45292689","4932","12q12"
"ANO9","ANO9","anoctamin 9","protein_coding","11","417937","2664","11p15.5"
"ANP32A","ANP32A","acidic nuclear phosphoprotein 32 family member A","protein_coding","15","68778535","2466","15q23"
"ANP32B","ANP32B","acidic nuclear phosphoprotein 32 family member B","protein_coding","9","97983340","1616","9q22.33"
"ANP32E","ANP32E","acidic nuclear phosphoprotein 32 family member E","protein_coding","1","150218416","2796","1q21.2"
"ANTXR2","ANTXR2","ANTXR cell adhesion molecule 2","protein_coding","4","79901145","3600","4q21.21"
"ANXA1","ANXA1","annexin A1","protein_coding","9","73151864","1682","9q21.13"
"ANXA11","ANXA11","annexin A11","protein_coding","10","80150888","2669","10q22.3"
"ANXA2","ANXA2","annexin A2","protein_coding","15","60347150","1445","15q22.2"
"ANXA3","ANXA3","annexin A3","protein_coding","4","78551769","1618","4q21.21"
"ANXA4","ANXA4","annexin A4","protein_coding","2","69742133","2016","2p13.3"
"ANXA5","ANXA5","annexin A5","protein_coding","4","121667945","1552","4q27"
"ANXA6","ANXA6","annexin A6","protein_coding","5","151100705","2608","5q33.1"
"ANXA7","ANXA7","annexin A7","protein_coding","10","73375100","1734","10q22.2"
"AP1AR","AP1AR","adaptor related protein complex 1 associated regulatory protein","protein_coding","4","112231786","2254","4q25"
"AP1B1","AP1B1","adaptor related protein complex 1 subunit beta 1","protein_coding","22","29327679","3760","22q12.2"
"AP1G1","AP1G1","adaptor related protein complex 1 subunit gamma 1","protein_coding","16","71729001","5103","16q22.2"
"AP1G2","AP1G2","adaptor related protein complex 1 subunit gamma 2","protein_coding","14","23559566","2045","14q11.2"
"AP1M1","AP1M1","adaptor related protein complex 1 subunit mu 1","protein_coding","19","16197910","2314","19p13.11"
"AP1S1","AP1S1","adaptor related protein complex 1 subunit sigma 1","protein_coding","7","101154475","1297","7q22.1"
"AP1S2","AP1S2","adaptor related protein complex 1 subunit sigma 2","protein_coding","X","15825805","1809","Xp22.2"
"AP2A1","AP2A1","adaptor related protein complex 2 subunit alpha 1","protein_coding","19","49767000","2513","19q13.33"
"AP2A2","AP2A2","adaptor related protein complex 2 subunit alpha 2","protein_coding","11_KI270902v1_alt","22179","3390","11p15.5"
"AP2B1","AP2B1","adaptor related protein complex 2 subunit beta 1","protein_coding","17","35587321","5635","17q12"
"AP2M1","AP2M1","adaptor related protein complex 2 subunit mu 1","protein_coding","3","184174845","1629","3q27.1"
"AP2S1","AP2S1","adaptor related protein complex 2 subunit sigma 1","protein_coding","19","46838135","833","19q13.32"
"AP3B1","AP3B1","adaptor related protein complex 3 subunit beta 1","protein_coding","5","78002325","4043","5q14.1"
"AP3D1","AP3D1","adaptor related protein complex 3 subunit delta 1","protein_coding","19","2100987","4015","19p13.3"
"AP3M1","AP3M1","adaptor related protein complex 3 subunit mu 1","protein_coding","10","74120254","5146","10q22.2"
"AP3M2","AP3M2","adaptor related protein complex 3 subunit mu 2","protein_coding","8","42152945","2960","8p11.21"
"AP3S1","AP3S1","adaptor related protein complex 3 subunit sigma 1","protein_coding","5","115841945","1307","5q22.3-q23.1"
"AP4B1","AP4B1","adaptor related protein complex 4 subunit beta 1","protein_coding","1","113894194","2267","1p13.2"
"AP4E1","AP4E1","adaptor related protein complex 4 subunit epsilon 1","protein_coding","15","50908682","3655","15q21.2"
"AP4M1","AP4M1","adaptor related protein complex 4 subunit mu 1","protein_coding","7","100101642","1621","7q22.1"
"AP4S1","AP4S1","adaptor related protein complex 4 subunit sigma 1","protein_coding","14","31025469","3061","14q12"
"AP5B1","AP5B1","adaptor related protein complex 5 subunit beta 1","protein_coding","11","65773897","6595","11q13.1"
"AP5M1","AP5M1","adaptor related protein complex 5 subunit mu 1","protein_coding","14","57268970","2599","14q22.3"
"AP5S1","AP5S1","adaptor related protein complex 5 subunit sigma 1","protein_coding","20","3820546","1780","20p13"
"AP5Z1","AP5Z1","adaptor related protein complex 5 subunit zeta 1","protein_coding","7","4775622","5422","7p22.1"
"APAF1","APAF1","apoptotic peptidase activating factor 1","protein_coding","12","98645299","6290","12q23.1"
"APBA2","APBA2","amyloid beta precursor protein binding family A member 2","protein_coding","15_KN538374v1_fix","1084107","2891","15q13.1"
"APBA3","APBA3","amyloid beta precursor protein binding family A member 3","protein_coding","19","3750771","1990","19p13.3"
"APBB1","APBB1","amyloid beta precursor protein binding family B member 1","protein_coding","11","6395123","1736","11p15.4"
"APBB1IP","APBB1IP","amyloid beta precursor protein binding family B member 1 interacting protein","protein_coding","10","26438340","2072","10p12.1"
"APCS","APCS","amyloid P component, serum","protein_coding","1","159587825","931","1q23.2"
"APEH","APEH","acylaminoacyl-peptide hydrolase","protein_coding","3","49674350","2689","3p21.31"
"APEX1","APEX1","apurinic/apyrimidinic endodeoxyribonuclease 1","protein_coding","14","20455225","1521","14q11.2"
"API5","API5","apoptosis inhibitor 5","protein_coding","11","43311995","3310","11p12"
"APIP","APIP","APAF1 interacting protein","protein_coding","11","34882295","1174","11p13"
"APLP2","APLP2","amyloid beta precursor like protein 2","protein_coding","11","130069893","3317","11q24.3"
"APMAP","APMAP","adipocyte plasma membrane associated protein","protein_coding","20","24962924","2165","20p11.21"
"APOA1","APOA1","apolipoprotein A1","protein_coding","11","116835750","897","11q23.3"
"APOA2","APOA2","apolipoprotein A2","protein_coding","1","161222291","390","1q23.3"
"APOA4","APOA4","apolipoprotein A4","protein_coding","11","116820699","1460","11q23.3"
"APOB","APOB","apolipoprotein B","protein_coding","2","21001428","14121","2p24.1"
"APOBEC3B","APOBEC3B","apolipoprotein B mRNA editing enzyme catalytic subunit 3B","protein_coding","22","38982346","1462","22q13.1"
"APOBEC3C","APOBEC3C","apolipoprotein B mRNA editing enzyme catalytic subunit 3C","protein_coding","22","39014256","1109","22q13.1"
"APOBEC3D","APOBEC3D","apolipoprotein B mRNA editing enzyme catalytic subunit 3D","protein_coding","22","39021126","1945","22q13.1"
"APOBEC3F","APOBEC3F","apolipoprotein B mRNA editing enzyme catalytic subunit 3F","protein_coding","22","39040863","2485","22q13.1"
"APOBEC3G","APOBEC3G","apolipoprotein B mRNA editing enzyme catalytic subunit 3G","protein_coding","22","39077004","2060","22q13.1"
"APOBR","APOBR","apolipoprotein B receptor","protein_coding","16","28494642","3676","16p12.1"
"APOC1","APOC1","apolipoprotein C1","protein_coding","19","44914324","493","19q13.32"
"APOC2","APOC2","apolipoprotein C2","protein_coding","19","44946050","944","19q13.32"
"APOC3","APOC3","apolipoprotein C3","protein_coding","11","116829906","533","11q23.3"
"APOD","APOD","apolipoprotein D","protein_coding","3","195568704","1256","3q29"
"APOE","APOE","apolipoprotein E","protein_coding","19","44905795","1180","19q13.32"
"APOF","APOF","apolipoprotein F","protein_coding","12","56360567","1689","12q13.3"
"APOH","APOH","apolipoprotein H","protein_coding","17","66212032","1201","17q24.2"
"APOL1","APOL1","apolipoprotein L1","protein_coding","22","36253132","2644","22q12.3"
"APOL2","APOL2","apolipoprotein L2","protein_coding","22","36226208","2606","22q12.3"
"APOM","APOM","apolipoprotein M","protein_coding","6_GL000251v2_alt","3129693","733","6p21.33"
"APOO","APOO","apolipoprotein O","protein_coding","X","23833360","1050","Xp22.11"
"APOOL","APOOL","apolipoprotein O like","protein_coding","X","85003876","6116","Xq21.1"
"APP","APP","amyloid beta precursor protein","protein_coding","21","25880549","3178","21q21.3"
"APPBP2","APPBP2","amyloid beta precursor protein binding protein 2","protein_coding","17","60443148","6424","17q23.2"
"APPL1","APPL1","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 1","protein_coding","3","57227728","3504","3p14.3"
"APRT","APRT","adenine phosphoribosyltransferase","protein_coding","16","88809468","740","16q24.3"
"APTX","APTX","aprataxin","protein_coding","9","32972605","1893","9p21.1"
"AQR","AQR","aquarius intron-binding spliceosomal factor","protein_coding","15","34851781","5080","15q14"
"ARAF","ARAF","A-Raf proto-oncogene, serine/threonine kinase","protein_coding","X","47561099","1993","Xp11.3"
"ARAP1","ARAP1","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 1","protein_coding","11","72685068","5080","11q13.4"
"ARAP2","ARAP2","ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 2","protein_coding","4","36066003","4150","4p14"
"ARCN1","ARCN1","archain 1","protein_coding","11","118572386","3982","11q23.3"
"ARF1","ARF1","ADP ribosylation factor 1","protein_coding","1","228082659","1963","1q42.13"
"ARF4","ARF4","ADP ribosylation factor 4","protein_coding","3","57571362","1740","3p14.3"
"ARF5","ARF5","ADP ribosylation factor 5","protein_coding","7","127588410","1022","7q32.1"
"ARF6","ARF6","ADP ribosylation factor 6","protein_coding","14","49893081","3939","14q21.3"
"ARFGAP2","ARFGAP2","ADP ribosylation factor GTPase activating protein 2","protein_coding","11","47164297","2448","11p11.2"
"ARFGAP3","ARFGAP3","ADP ribosylation factor GTPase activating protein 3","protein_coding","22","42796502","2201","22q13.2"
"ARFGEF1","ARFGEF1","ADP ribosylation factor guanine nucleotide exchange factor 1","protein_coding","8","67197659","4502","8q13.2"
"ARFGEF2","ARFGEF2","ADP ribosylation factor guanine nucleotide exchange factor 2","protein_coding","20","48921710","7932","20q13.13"
"ARFIP1","ARFIP1","ADP ribosylation factor interacting protein 1","protein_coding","4","152779936","2863","4q31.3"
"ARFIP2","ARFIP2","ADP ribosylation factor interacting protein 2","protein_coding","11","6476518","3193","11p15.4"
"ARFRP1","ARFRP1","ADP ribosylation factor related protein 1","protein_coding","20","63698647","2581","20q13.33"
"ARG2","ARG2","arginase 2","protein_coding","14","67619919","1980","14q24.1"
"ARGLU1","ARGLU1","arginine and glutamate rich 1","protein_coding","13","106541672","2287","13q33.3"
"ARHGAP1","ARHGAP1","Rho GTPase activating protein 1","protein_coding","11","46677080","2083","11p11.2"
"ARHGAP11A","ARHGAP11A","Rho GTPase activating protein 11A","protein_coding","15","32615475","4470","15q13.3"
"ARHGAP12","ARHGAP12","Rho GTPase activating protein 12","protein_coding","10","31805397","4141","10p11.22"
"ARHGAP15","ARHGAP15","Rho GTPase activating protein 15","protein_coding","2","143129418","1356","2q22.2-q22.3"
"ARHGAP17","ARHGAP17","Rho GTPase activating protein 17","protein_coding","16","24919390","2830","16p12.1"
"ARHGAP18","ARHGAP18","Rho GTPase activating protein 18","protein_coding","6","129576133","2773","6q22.33"
"ARHGAP19","ARHGAP19","Rho GTPase activating protein 19","protein_coding","10","97222172","5367","10q24.1"
"ARHGAP21","ARHGAP21","Rho GTPase activating protein 21","protein_coding","10","24583613","4202","10p12.1|10p12.3"
"ARHGAP25","ARHGAP25","Rho GTPase activating protein 25","protein_coding","2","68735376","2325","2p13.3"
"ARHGAP26","ARHGAP26","Rho GTPase activating protein 26","protein_coding","5","142770376","8894","5q31.3"
"ARHGAP27","ARHGAP27","Rho GTPase activating protein 27","protein_coding","17_KI270908v1_alt","84410","2659","17q21.31"
"ARHGAP30","ARHGAP30","Rho GTPase activating protein 30","protein_coding","1","161046945","3966","1q23.3"
"ARHGAP35","ARHGAP35","Rho GTPase activating protein 35","protein_coding","19","46860996","8888","19q13.32"
"ARHGAP4","ARHGAP4","Rho GTPase activating protein 4","protein_coding","X","153907377","3159","Xq28"
"ARHGAP45","ARHGAP45","Rho GTPase activating protein 45","protein_coding","19","1071209","4052","19p13.3"
"ARHGAP5","ARHGAP5","Rho GTPase activating protein 5","protein_coding","14","32077303","8004","14q12"
"ARHGAP9","ARHGAP9","Rho GTPase activating protein 9","protein_coding","12","57472268","2144","12q13.3"
"ARHGDIA","ARHGDIA","Rho GDP dissociation inhibitor alpha","protein_coding","17","81867720","1896","17q25.3"
"ARHGDIB","ARHGDIB","Rho GDP dissociation inhibitor beta","protein_coding","12","14942030","1216","12p12.3"
"ARHGEF1","ARHGEF1","Rho guanine nucleotide exchange factor 1","protein_coding","19","41884442","2956","19q13.2"
"ARHGEF10","ARHGEF10","Rho guanine nucleotide exchange factor 10","protein_coding","8","1823925","3600","8p23.3"
"ARHGEF11","ARHGEF11","Rho guanine nucleotide exchange factor 11","protein_coding","1","156934839","4643","1q23.1"
"ARHGEF12","ARHGEF12","Rho guanine nucleotide exchange factor 12","protein_coding","11","120385326","7009","11q23.3"
"ARHGEF18","ARHGEF18","Rho/Rac guanine nucleotide exchange factor 18","protein_coding","19","7439687","4734","19p13.2"
"ARHGEF2","ARHGEF2","Rho/Rac guanine nucleotide exchange factor 2","protein_coding","1","155946838","3209","1q22"
"ARHGEF3","ARHGEF3","Rho guanine nucleotide exchange factor 3","protein_coding","3","56727419","3461","3p14.3"
"ARHGEF5","ARHGEF5","Rho guanine nucleotide exchange factor 5","protein_coding","7","144355401","4176","7q35"
"ARHGEF6","ARHGEF6","Rac/Cdc42 guanine nucleotide exchange factor 6","protein_coding","X","136665550","5060","Xq26.3"
"ARHGEF7","ARHGEF7","Rho guanine nucleotide exchange factor 7","protein_coding","13","111186793","4340","13q34"
"ARID1A","ARID1A","AT-rich interaction domain 1A","protein_coding","1","26696014","5597","1p36.11"
"ARID1B","ARID1B","AT-rich interaction domain 1B","protein_coding","6","157036426","8361","6q25.3"
"ARID2","ARID2","AT-rich interaction domain 2","protein_coding","12","45729708","6544","12q12"
"ARID3A","ARID3A","AT-rich interaction domain 3A","protein_coding","19","926034","2810","19p13.3"
"ARID3B","ARID3B","AT-rich interaction domain 3B","protein_coding","15","74541219","2959","15q24.1"
"ARID4A","ARID4A","AT-rich interaction domain 4A","protein_coding","14","58298503","4028","14q23.1"
"ARID4B","ARID4B","AT-rich interaction domain 4B","protein_coding","1","235166901","4622","1q42.3"
"ARID5A","ARID5A","AT-rich interaction domain 5A","protein_coding","2","96537878","2371","2q11.2"
"ARID5B","ARID5B","AT-rich interaction domain 5B","protein_coding","10","62049356","5502","10q21.2"
"ARIH1","ARIH1","ariadne RBR E3 ubiquitin protein ligase 1","protein_coding","15","72474329","5251","15q24.1"
"ARIH2","ARIH2","ariadne RBR E3 ubiquitin protein ligase 2","protein_coding","3","48918841","2922","3p21.31"
"ARL1","ARL1","ADP ribosylation factor like GTPase 1","protein_coding","12","101393119","3132","12q23.2"
"ARL14EP","ARL14EP","ADP ribosylation factor like GTPase 14 effector protein","protein_coding","11","30323103","1770","11p14.1"
"ARL15","ARL15","ADP ribosylation factor like GTPase 15","protein_coding","5","53883941","2443","5q11.2"
"ARL2","ARL2","ADP ribosylation factor like GTPase 2","protein_coding","11","65014159","1055","11q13.1"
"ARL2BP","ARL2BP","ADP ribosylation factor like GTPase 2 binding protein","protein_coding","16","57245258","1413","16q13"
"ARL3","ARL3","ADP ribosylation factor like GTPase 3","protein_coding","10","102673730","3874","10q24.32"
"ARL4D","ARL4D","ADP ribosylation factor like GTPase 4D","protein_coding","17","43398992","1585","17q21.31"
"ARL5A","ARL5A","ADP ribosylation factor like GTPase 5A","protein_coding","2","151798796","2579","2q23.3"
"ARL6IP4","ARL6IP4","ADP ribosylation factor like GTPase 6 interacting protein 4","protein_coding","12","122980059","1244","12q24.31"
"ARL6IP5","ARL6IP5","ADP ribosylation factor like GTPase 6 interacting protein 5","protein_coding","3","69084936","2128","3p14.1"
"ARL6IP6","ARL6IP6","ADP ribosylation factor like GTPase 6 interacting protein 6","protein_coding","2","152718619","2272","2q23.3"
"ARL8A","ARL8A","ADP ribosylation factor like GTPase 8A","protein_coding","1","202133403","1761","1q32.1"
